"CountyFIPS","PlaceFIPS","Tp10","Gqp10","Hp10","Pph10","Thu10","Ohu10","Vhu10","Vr10","Tp11","Gqp11","Hp11","Pph11","Thu11","Ohu11","Vhu11","Vr11","Tp12","Gqp12","Hp12","Pph12","Thu12","Ohu12","Vhu12","Vr12","Tp13","Gqp13","Hp13","Pph13","Thu13","Ohu13","Vhu13","Vr13","Tp14","Gqp14","Hp14","Pph14","Thu14","Ohu14","Vhu14","Vr14","Tp15","Gqp15","Hp15","Pph15","Thu15","Ohu15","Vhu15","Vr15","Tp16","Gqp16","Hp16","Pph16","Thu16","Ohu16","Vhu16","Vr16","Tp17","Gqp17","Hp17","Pph17","Thu17","Ohu17","Vhu17","Vr17","Tp18","Gqp18","Hp18","Pph18","Thu18","Ohu18","Vhu18","Vr18","Tp19","Gqp19","Hp19","Pph19","Thu19","Ohu19","Vhu19","Vr19"
"123","29955",1038,0,1038,3.19,346,325,21,6.06,1048,0,1048,3.19,346,328,18,5.20,1060,0,1060,3.19,346,332,14,4.04,1071,0,1071,3.18,346,336,10,2.89,1083,0,1083,3.19,346,339,7,2.02,1083,0,1083,3.19,344,339,5,1.45,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,
"123","32155",93262,4853,88409,2.63,36340,33569,2771,7.62,94280,4830,89450,2.63,36422,33964,2458,6.74,95218,4640,90578,2.63,36463,34392,2071,5.67,96421,4640,91781,2.63,36559,34849,1710,4.67,98474,4590,93884,2.63,36983,35647,1336,3.61,101302,4860,96442,2.63,37780,36619,1161,3.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"123","33310",138,0,138,2.22,90,62,28,31.11,139,0,139,2.20,90,63,27,30.00,140,0,140,2.22,90,63,27,30.00,142,0,142,2.21,90,64,26,28.88,143,0,143,2.20,90,65,25,27.77,144,0,144,2.21,90,65,25,27.77,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,
"123","37820",2370,871,1499,2.90,560,516,44,7.85,2384,871,1513,2.90,560,521,39,6.96,2566,1036,1530,2.90,560,526,34,6.07,2588,1036,1552,2.90,562,534,28,4.98,1575,0,1575,2.90,564,542,22,3.90,1584,0,1584,2.90,564,545,19,3.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"123","39855",9445,0,9445,2.98,3303,3163,140,4.23,9858,0,9858,2.98,3415,3301,114,3.33,10447,0,10447,2.98,3578,3498,80,2.23,11402,0,11402,2.98,3864,3818,46,1.19,12550,0,12550,2.98,4206,4203,3,0.07,14064,0,14064,3.00,4687,4687,0,0.00,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,
"123","40185",1131,9,1122,2.55,463,440,23,4.96,1144,9,1135,2.55,464,445,19,4.09,1160,9,1151,2.55,465,451,14,3.01,1177,9,1168,2.55,467,458,9,1.92,1190,9,1181,2.55,467,463,4,0.85,1197,9,1188,2.55,467,465,2,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"123","40515",1459,0,1459,2.94,531,496,35,6.59,1473,0,1473,2.94,531,500,31,5.83,1498,0,1498,2.94,534,509,25,4.68,1517,0,1517,2.94,535,515,20,3.73,1538,0,1538,2.94,536,523,13,2.42,1558,0,1558,2.94,540,529,11,2.03,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,
"123","43605",1967,0,1967,2.79,748,703,45,6.01,1986,0,1986,2.79,748,710,38,5.08,2009,0,2009,2.79,748,718,30,4.01,2033,0,2033,2.79,749,727,22,2.93,2056,0,2056,2.79,749,735,14,1.86,2068,0,2068,2.79,749,739,10,1.33,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,
"123","06255",63,0,63,3.31,20,19,1,5.00,64,0,64,3.36,20,19,1,5.00,65,0,65,3.25,20,20,0,0.00,65,0,65,3.25,20,20,0,0.00,69,0,69,3.28,21,21,0,0.00,73,0,73,3.31,22,22,0,0.00,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,
"123","45530",4806,0,4806,2.89,1785,1658,127,7.11,5075,0,5075,2.89,1867,1751,116,6.21,5210,0,5210,2.89,1895,1798,97,5.11,5268,0,5268,2.89,1896,1818,78,4.11,5350,0,5350,2.89,1904,1846,58,3.04,5459,0,5459,2.89,1932,1884,48,2.48,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,
